mpio_code,municipality,cases_total,cases_complicated,cases_vivax,cases_falciparum,inc_total_pop,inc_comp_pop,inc_vivax_pop,inc_falci_pop
05001,MEDELLIN,109,20,66,21,4.594639025767916,0.8430530322509938,2.7820750064282795,0.8852056838635435
05002,ABEJORRAL,2,0,2,0,11.364282061480765,0.0,11.364282061480765,0.0
05004,ABRIAQUI,1,0,0,1,46.317739694302915,0.0,0.0,46.317739694302915
05030,AMAGA,2,0,2,0,7.456843518138772,0.0,7.456843518138772,0.0
05031,AMALFI,47,1,41,5,231.926967678263,4.934616333580064,202.31926967678262,24.67308166790032
05034,ANDES,13,2,9,1,34.08137583892617,5.243288590604027,23.594798657718123,2.6216442953020134
05038,ANGOSTURA,2,0,0,2,19.047619047619047,0.0,0.0,19.047619047619047
05040,ANORI,795,7,611,174,5482.002482416218,48.26920424768997,4213.211970762653,1199.8345055854365
05042,ANTIOQUIA,123,17,88,18,529.8070296347347,73.22536181943488,379.0489317711923,77.53273604410751
05045,APARTADO,3023,218,2521,275,2664.1637804157967,192.12295869356387,2221.752196635204,242.35694330610124
05051,ARBOLETES,245,8,136,98,931.9487238008293,30.43097873635361,517.3266385180114,372.7794895203317
05059,ARMENIA,1,0,1,0,26.18486514794449,0.0,26.18486514794449,0.0
05079,BARBOSA,5,1,3,1,11.171436870210247,2.2342873740420495,6.702862122126148,2.2342873740420495
05088,BELLO,9,2,4,3,1.8676035119246486,0.4150230026499218,0.8300460052998436,0.6225345039748827
05091,BETANIA,2,0,2,0,23.285597857724994,0.0,23.285597857724994,0.0
05093,BETULIA,3,2,1,0,19.871497648539446,13.247665099026296,6.623832549513148,0.0
05101,BOLIVAR,25,1,21,3,107.01596678224391,4.280638671289757,89.89341209708489,12.84191601386927
05107,BRICENO,1,0,1,0,16.818028927009756,0.0,16.818028927009756,0.0
05113,BURITICA,2,0,1,1,26.994196247806723,0.0,13.497098123903362,13.497098123903362
05120,CACERES,779,16,578,173,2944.066515495087,60.46863189720332,2184.42932728647,653.8170823885109
05125,CAICEDO,4,0,4,0,56.99629524080935,0.0,56.99629524080935,0.0
05129,CALDAS,4,1,3,0,5.245213742460005,1.3113034356150013,3.933910306845004,0.0
05134,CAMPAMENTO,5,0,4,1,67.27664155005382,0.0,53.821313240043054,13.455328310010763
05138,CAÑASGORDAS,6,0,6,0,44.13387274733358,0.0,44.13387274733358,0.0
05142,CARACOLI,1,0,1,0,25.207965717166626,0.0,25.207965717166626,0.0
05145,CARAMANTA,1,0,1,0,23.4246896228625,0.0,23.4246896228625,0.0
05147,CAREPA,530,31,430,67,1153.7791710205504,67.48519679554163,936.0849878091257,145.85510275165447
05150,CAROLINA,1,0,1,0,29.91325157044571,0.0,29.91325157044571,0.0
05154,CAUCASIA,378,26,293,52,446.1914373738446,30.690416327301488,345.85738399612825,61.380832654602976
05172,CHIGORODO,1260,133,1082,44,2267.6553163919084,239.363616730257,1947.3040097905118,79.1879634295587
05190,CISNEROS,7,1,6,0,78.56341189674524,11.22334455667789,67.34006734006735,0.0
05197,COCORNA,3,0,2,1,20.348640032557824,0.0,13.565760021705216,6.782880010852608
05206,CONCEPCION,1,0,1,0,25.406504065040654,0.0,25.406504065040654,0.0
05209,CONCORDIA,2,0,2,0,12.426219322771049,0.0,12.426219322771049,0.0
05212,COPACABANA,3,0,1,2,3.922645432079394,0.0,1.307548477359798,2.615096954719596
05234,DABEIBA,351,12,323,12,1545.0983844697803,52.82387639212924,1421.8426728881454,52.82387639212924
05237,DON MATIAS,2,0,1,1,14.076576576576576,0.0,7.038288288288288,7.038288288288288
05240,EBEJICO,3,0,2,0,29.01915264074289,0.0,19.34610176049526,0.0
05250,EL BAGRE,8000,41,6697,1216,16791.90630116284,86.05851979345955,14056.924562360942,2552.3697577767516
05266,ENVIGADO,1,0,1,0,0.4707277922395816,0.0,0.4707277922395816,0.0
05282,FREDONIA,6,1,5,0,31.931878658861095,5.321979776476849,26.609898882384247,0.0
05284,FRONTINO,658,19,555,79,3264.5366144076206,94.26473506648145,2753.522524310379,391.9428458027386
05310,GOMEZ PLATA,3,0,2,1,36.42987249544627,0.0,24.286581663630844,12.143290831815422
05313,GRANADA,1,0,1,0,10.86484137331595,0.0,10.86484137331595,0.0
05315,GUADALUPE,1,0,1,0,18.34189288334556,0.0,18.34189288334556,0.0
05321,GUATAPE,1,0,1,0,14.208581983518044,0.0,14.208581983518044,0.0
05360,ITAGUI,9,4,4,1,3.4177388239940454,1.5189950328862425,1.5189950328862425,0.3797487582215606
05361,ITUANGO,63,5,32,21,264.8839556004036,21.022536158762193,134.54423141607805,88.2946518668012
05364,JARDIN,8,1,7,0,59.07983162247987,7.384978952809984,51.694852669669885,0.0
05376,LA CEJA,3,1,2,0,5.051695685851884,1.6838985619506281,3.3677971239012563,0.0
05380,LA ESTRELLA,3,0,3,0,4.41949882883281,0.0,4.41949882883281,0.0
05390,LA PINTADA,2,1,1,0,25.081514923501377,12.540757461750689,12.540757461750689,0.0
05411,LIBORINA,1,1,0,0,12.613521695257315,12.613521695257315,0.0,0.0
05425,MACEO,8,3,4,0,109.63409620391941,41.11278607646978,54.817048101959706,0.0
05440,MARINILLA,1,1,0,0,1.8106101756291872,1.8106101756291872,0.0,0.0
05475,MURINDO,2136,10,1596,509,46014.64885825076,215.42438604049977,34381.73201206377,10965.10124946144
05480,MUTATA,1172,23,1095,53,9296.42262235266,182.43832791306417,8685.650828904578,420.4013643214087
05483,NARIÑO,8,0,3,5,92.99081715680576,0.0,34.87155643380216,58.1192607230036
05490,NECOCLI,465,9,216,238,1210.3071317022384,23.42529932326913,562.2071837584591,619.4690265486726
05495,NECHI,1071,25,1000,43,4450.261780104712,103.88099393334996,4155.239757333999,178.6753095653619
05501,OLAYA,1,0,0,1,36.77822728944465,0.0,0.0,36.77822728944465
05541,PEÑOL,3,0,2,1,16.65741254858412,0.0,11.10494169905608,5.55247084952804
05543,PEQUE,1,0,1,0,13.97624039133473,0.0,13.97624039133473,0.0
05576,PUEBLORRICO,6,2,3,1,83.31019161344071,27.770063871146906,41.655095806720354,13.885031935573453
