ano,semana,mpio_code,department,municipality,cases_total,cases_complicated,cases_vivax,cases_falciparum,pop_total,pop_u5,inc_total_pop,inc_comp_pop,inc_vivax_pop,inc_falci_pop
2017,1,05031,ANTIOQUIA,AMALFI,2,0,2,0,20265.0,1317.0,9.869232667160128e-05,0.0,9.869232667160128e-05,0.0
2017,1,05045,ANTIOQUIA,APARTADO,2,0,2,0,113469.0,8765.0,1.7625959513171e-05,0.0,1.7625959513171e-05,0.0
2017,1,05120,ANTIOQUIA,CACERES,2,0,2,0,26460.0,2381.0,7.558578987150416e-05,0.0,7.558578987150416e-05,0.0
2017,1,05147,ANTIOQUIA,CAREPA,2,0,1,1,45936.0,3698.0,4.353883664228492e-05,0.0,2.176941832114246e-05,2.176941832114246e-05
2017,1,05154,ANTIOQUIA,CAUCASIA,2,0,2,0,84717.0,7147.0,2.360801255946268e-05,0.0,2.360801255946268e-05,0.0
2017,1,05250,ANTIOQUIA,EL BAGRE,18,0,13,5,47642.0,4288.0,0.0003778178917761639,0.0,0.0002728684773938961,0.00010494941438226774
2017,1,05284,ANTIOQUIA,FRONTINO,4,0,4,0,20156.0,1840.0,0.00019845207382417147,0.0,0.00019845207382417147,0.0
2017,1,05475,ANTIOQUIA,MURINDO,2,0,2,0,4642.0,622.0,0.00043084877208099956,0.0,0.00043084877208099956,0.0
2017,1,05480,ANTIOQUIA,MUTATA,1,0,1,0,12607.0,1225.0,7.932101213611486e-05,0.0,7.932101213611486e-05,0.0
2017,1,05495,ANTIOQUIA,NECHI,4,0,4,0,24066.0,2156.0,0.00016620959029335994,0.0,0.00016620959029335994,0.0
2017,1,05604,ANTIOQUIA,REMEDIOS,7,0,7,0,22530.0,1827.0,0.0003106968486462494,0.0,0.0003106968486462494,0.0
2017,1,05665,ANTIOQUIA,SAN PEDRO DE URABA,1,0,1,0,30527.0,2220.0,3.2757886461165525e-05,0.0,3.2757886461165525e-05,0.0
2017,1,05736,ANTIOQUIA,SEGOVIA,2,0,1,1,33690.0,2717.0,5.936479667557139e-05,0.0,2.9682398337785694e-05,2.9682398337785694e-05
2017,1,05790,ANTIOQUIA,TARAZA,2,0,2,0,22826.0,1828.0,8.761938140716727e-05,0.0,8.761938140716727e-05,0.0
2017,1,05837,ANTIOQUIA,TURBO,2,0,1,1,114434.0,10113.0,1.7477323173182797e-05,0.0,8.738661586591398e-06,8.738661586591398e-06
2017,1,05847,ANTIOQUIA,URRAO,4,0,4,0,29004.0,2273.0,0.00013791201213625708,0.0,0.00013791201213625708,0.0
2017,1,05873,ANTIOQUIA,VIGIA DEL FUERTE,2,1,0,1,8139.0,897.0,0.0002457304337142155,0.00012286521685710776,0.0,0.00012286521685710776
2017,1,05893,ANTIOQUIA,YONDO (CASABE),2,0,2,0,17597.0,1660.0,0.00011365573677331363,0.0,0.00011365573677331363,0.0
2017,1,05895,ANTIOQUIA,ZARAGOZA,6,0,6,0,24067.0,2241.0,0.0002493040262600241,0.0,0.0002493040262600241,0.0
2017,1,19110,CAUCA,BUENOS AIRES,1,0,0,1,,,,,,
2017,1,19318,CAUCA,GUAPI,1,0,0,1,,,,,,
2017,1,19418,CAUCA,LOPEZ (MICAY),4,0,0,4,,,,,,
2017,1,19809,CAUCA,TIMBIQUI,35,1,0,33,,,,,,
2017,1,27025,CHOCO,ALTO BAUDO (PIE DE PATO),6,0,5,1,23954.0,3080.0,0.0002504800868330968,0.0,0.0002087334056942473,4.174668113884946e-05
2017,1,27050,CHOCO,ATRATO,5,1,1,3,5519.0,532.0,0.000905961224859576,0.0001811922449719152,0.0001811922449719152,0.0005435767349157456
2017,1,27073,CHOCO,BAGADO,5,0,5,0,10583.0,1602.0,0.00047245582538032695,0.0,0.00047245582538032695,0.0
2017,1,27075,CHOCO,BAHIA SOLANO (MUTIS),9,0,5,4,9417.0,981.0,0.000955718381650207,0.0,0.0005309546564723373,0.00042476372517786983
2017,1,27077,CHOCO,BAJO BAUDO (PIZARRO),9,0,6,3,18561.0,2469.0,0.00048488766769031843,0.0,0.0003232584451268789,0.00016162922256343946
2017,1,27099,CHOCO,BOJAYA (BELLAVISTA),2,0,1,1,11933.0,1884.0,0.00016760244699572614,0.0,8.380122349786307e-05,8.380122349786307e-05
2017,1,27135,CHOCO,CANTON DE SAN PABLO (MANAGRU),6,0,0,6,5663.0,627.0,0.0010595090941197245,0.0,0.0,0.0010595090941197245
2017,1,27150,CHOCO,CARMEN DEL DARIEN,1,0,1,0,13189.0,1741.0,7.582075972401244e-05,0.0,7.582075972401244e-05,0.0
2017,1,27160,CHOCO,CERTEGUI,1,0,0,1,4683.0,444.0,0.00021353833013025838,0.0,0.0,0.00021353833013025838
2017,1,27205,CHOCO,CONDOTO,2,0,1,1,12251.0,1075.0,0.00016325197943025058,0.0,8.162598971512529e-05,8.162598971512529e-05
2017,1,27361,CHOCO,ITSMINA,13,1,8,4,28087.0,2680.0,0.00046284758073129916,3.5603660056253786e-05,0.0002848292804500303,0.00014241464022501514
2017,1,27413,CHOCO,LLORO,9,1,6,1,8928.0,2053.0,0.0010080645161290322,0.00011200716845878136,0.0006720430107526882,0.00011200716845878136
2017,1,27425,CHOCO,MEDIO ATRATO,8,1,0,7,10140.0,1005.0,0.0007889546351084812,9.861932938856015e-05,0.0,0.0006903353057199211
2017,1,27430,CHOCO,MEDIO BAUDO (BOCA DE PEPE),4,0,1,3,13423.0,1764.0,0.00029799597705430976,0.0,7.449899426357744e-05,0.00022349698279073232
2017,1,27450,CHOCO,MEDIO SAN JUAN,6,0,4,2,9073.0,1023.0,0.0006613027664499064,0.0,0.00044086851096660423,0.00022043425548330211
2017,1,27491,CHOCO,NOVITA,19,0,8,11,8164.0,883.0,0.0023272905438510533,0.0,0.0009799118079372856,0.0013473787359137678
2017,1,27495,CHOCO,NUQUI,3,0,0,3,3456.0,459.0,0.0008680555555555555,0.0,0.0,0.0008680555555555555
2017,1,27001,CHOCO,QUIBDO,85,3,27,53,120679.0,12064.0,0.0007043478981430075,2.4859337581517912e-05,0.0002237340382336612,0.0004391816306068164
2017,1,27600,CHOCO,RIOQUITO,4,0,0,4,7974.0,893.0,0.0005016302984700275,0.0,0.0,0.0005016302984700275
2017,1,27615,CHOCO,RIOSUCIO,2,0,2,0,48257.0,4261.0,4.1444764490125784e-05,0.0,4.1444764490125784e-05,0.0
2017,1,27660,CHOCO,SAN JOSE DEL PALMAR,2,0,2,0,4721.0,511.0,0.00042363905952128787,0.0,0.00042363905952128787,0.0
2017,1,27745,CHOCO,SIPI,1,0,1,0,2768.0,313.0,0.000361271676300578,0.0,0.000361271676300578,0.0
2017,1,27787,CHOCO,TADO,33,1,18,14,17000.0,1881.0,0.0019411764705882352,5.882352941176471e-05,0.0010588235294117646,0.0008235294117647059
2017,1,27810,CHOCO,UNION PANAMERICANA,2,0,0,2,6590.0,596.0,0.00030349013657056146,0.0,0.0,0.00030349013657056146
2017,1,23090,CORDOBA,CANALETE,1,0,1,0,14831.0,1154.0,6.742633672712562e-05,0.0,6.742633672712562e-05,0.0
2017,1,23417,CORDOBA,LORICA,1,0,1,0,98491.0,7579.0,1.0153211968606268e-05,0.0,1.0153211968606268e-05,0.0
2017,1,23466,CORDOBA,MONTELIBANO,2,0,1,1,71824.0,6168.0,2.784584539986634e-05,0.0,1.392292269993317e-05,1.392292269993317e-05
2017,1,23001,CORDOBA,MONTERIA,1,0,1,0,433723.0,33649.0,2.3056190241236918e-06,0.0,2.3056190241236918e-06,0.0
2017,1,23555,CORDOBA,PLANETA RICA,1,0,1,0,60259.0,4667.0,1.6595031447584594e-05,0.0,1.6595031447584594e-05,0.0
2017,1,23570,CORDOBA,PUEBLO NUEVO,1,0,1,0,26968.0,2119.0,3.7080984870958175e-05,0.0,3.7080984870958175e-05,0.0
2017,1,23574,CORDOBA,PUERTO ESCONDIDO,1,0,0,1,19474.0,1598.0,5.135051864023827e-05,0.0,0.0,5.135051864023827e-05
2017,1,23580,CORDOBA,PUERTO LIBERTADOR,12,0,12,0,35362.0,3294.0,0.0003393473219840507,0.0,0.0003393473219840507,0.0
2017,1,23670,CORDOBA,SAN ANDRES SOTAVENTO,1,0,1,0,42046.0,3795.0,2.3783475241402274e-05,0.0,2.3783475241402274e-05,0.0
2017,1,23678,CORDOBA,SAN CARLOS,2,1,0,1,23532.0,1796.0,8.499065102838688e-05,4.249532551419344e-05,0.0,4.249532551419344e-05
2017,1,23807,CORDOBA,TIERRALTA,96,1,80,15,86578.0,8964.0,0.0011088267227240176,1.1550278361708517e-05,0.0009240222689366813,0.00017325417542562776
2017,1,23815,CORDOBA,TUCHIN,2,0,2,0,40033.0,4190.0,4.995878400319736e-05,0.0,4.995878400319736e-05,0.0
2017,1,23855,CORDOBA,VALENCIA,2,0,2,0,30545.0,2308.0,6.547716483876248e-05,0.0,6.547716483876248e-05,0.0
2017,1,52079,NARIÑO,BARBACOAS,24,0,5,18,34248.0,3698.0,0.000700770847932726,0.0,0.00014599392665265126,0.0005255781359495446
2017,1,52233,NARIÑO,CUMBITARA,4,0,0,4,5096.0,300.0,0.0007849293563579278,0.0,0.0,0.0007849293563579278
2017,1,52250,NARIÑO,EL CHARCO,40,0,0,39,21071.0,2311.0,0.0018983436951260026,0.0,0.0,0.0018508851027478526
2017,1,52520,NARIÑO,FRANCISCO PIZARRO (SALAHONDA),5,0,0,5,7430.0,670.0,0.0006729475100942127,0.0,0.0,0.0006729475100942127
2017,1,52390,NARIÑO,LA TOLA,1,0,0,1,5847.0,580.0,0.0001710278775440397,0.0,0.0,0.0001710278775440397
2017,1,52427,NARIÑO,MAGUI (PAYAN),6,0,2,4,18262.0,2417.0,0.0003285510896944475,0.0,0.00010951702989814916,0.00021903405979629831
2017,1,52473,NARIÑO,MOSQUERA,10,0,0,10,10206.0,789.0,0.0009798157946306093,0.0,0.0,0.0009798157946306093
2017,1,52490,NARIÑO,OLAYA HERRERA(BOCAS DE SATINGA,28,0,0,28,21415.0,2224.0,0.0013074947466728928,0.0,0.0,0.0013074947466728928
2017,1,52540,NARIÑO,POLICARPA,1,0,1,0,8149.0,455.0,0.00012271444348999877,0.0,0.00012271444348999877,0.0
2017,1,52565,NARIÑO,PROVIDENCIA,2,2,0,0,4619.0,316.0,0.00043299415457891317,0.00043299415457891317,0.0,0.0
2017,1,52621,NARIÑO,ROBERTO PAYAN (SAN JOSE),96,0,1,95,10473.0,1102.0,0.00916642795760527,0.0,9.548362455838824e-05,0.009070944333046883
2017,1,52696,NARIÑO,SANTA BARBARA (ISCUANDE),7,0,0,7,8989.0,903.0,0.0007787295583490933,0.0,0.0,0.0007787295583490933
2017,1,52835,NARIÑO,TUMACO,141,1,4,136,138091.0,11874.0,0.0010210658189165117,7.241601552599373e-06,2.8966406210397493e-05,0.0009848578111535148
2017,2,05045,ANTIOQUIA,APARTADO,4,0,4,0,113469.0,8765.0,3.5251919026342e-05,0.0,3.5251919026342e-05,0.0
2017,2,05120,ANTIOQUIA,CACERES,2,0,0,2,26460.0,2381.0,7.558578987150416e-05,0.0,0.0,7.558578987150416e-05
2017,2,05172,ANTIOQUIA,CHIGORODO,1,0,1,0,55564.0,4537.0,1.79972644158088e-05,0.0,1.79972644158088e-05,0.0
2017,2,05234,ANTIOQUIA,DABEIBA,2,0,2,0,22717.0,2298.0,8.803979398688208e-05,0.0,8.803979398688208e-05,0.0
2017,2,05250,ANTIOQUIA,EL BAGRE,14,0,11,3,47642.0,4288.0,0.0002938583602703497,0.0,0.00023088871164098903,6.296964862936064e-05
2017,2,05284,ANTIOQUIA,FRONTINO,2,0,2,0,20156.0,1840.0,9.922603691208574e-05,0.0,9.922603691208574e-05,0.0
